time_chunk,count,mean,std,min,max,median,q25,q75,time_label,iqr,temp_change,temp_change_abs,mean_smooth,range
64,15511,27.969,2.8449,17.0221,39.9423,27.872,26.0394,29.8341,16:00,3.794699999999999,0.01529999999999987,0.01529999999999987,27.97356666666667,22.920200000000005
65,15578,27.998,2.8689,17.8982,40.0105,27.9236,26.0765,29.8866,16:15,3.810100000000002,0.028999999999999915,0.028999999999999915,27.998700000000003,22.1123
66,15508,28.0291,2.8815,18.4354,39.9902,27.9925,26.1377,29.8769,16:30,3.7392000000000003,0.031099999999998573,0.031099999999998573,28.030599999999996,21.5548
67,15548,28.0647,2.8726,18.4392,40.016,28.0185,26.1799,29.9117,16:45,3.7318,0.035599999999998744,0.035599999999998744,28.0641,21.5768
68,15539,28.0985,2.8823,17.3119,39.8662,28.0418,26.1963,29.9045,17:00,3.708199999999998,0.03380000000000294,0.03380000000000294,28.095566666666667,22.554299999999998
69,15527,28.1235,2.8794,18.0514,39.8129,28.0712,26.2372,29.9202,17:15,3.683,0.02499999999999858,0.02499999999999858,28.123099999999997,21.761499999999998
70,15523,28.1473,2.8818,18.6185,39.5876,28.0301,26.2789,29.9783,17:30,3.6994000000000007,0.023800000000001376,0.023800000000001376,28.148266666666668,20.9691
71,15519,28.174,2.905,18.5568,39.7731,27.9887,26.3131,30.0292,17:45,3.716100000000001,0.02669999999999817,0.02669999999999817,28.16756666666667,21.2163
72,15552,28.1814,2.9347,16.4355,39.9206,28.0283,26.3422,30.0921,18:00,3.7499000000000002,0.007400000000000517,0.007400000000000517,28.174200000000003,23.4851
73,15523,28.1672,2.9668,15.0019,39.9121,28.0369,26.2908,30.09,18:15,3.799199999999999,-0.01419999999999888,0.01419999999999888,28.1611,24.910200000000003
74,15560,28.1347,3.0026,12.2443,40.0622,27.9982,26.2732,30.1087,18:30,3.8354999999999997,-0.032500000000002416,0.032500000000002416,28.132966666666665,27.817899999999995
75,15539,28.097,3.0211,11.4365,40.2877,27.9823,26.2334,30.1085,18:45,3.8750999999999998,-0.0376999999999974,0.0376999999999974,28.088566666666665,28.8512
76,15468,28.034,3.0579,11.7408,40.3029,27.9246,26.1377,30.0128,19:00,3.8750999999999998,-0.06300000000000239,0.06300000000000239,28.0479,28.5621
77,15544,28.0127,3.0341,13.5394,40.3891,27.9255,26.0965,29.951,19:15,3.8545000000000016,-0.021300000000000097,0.021300000000000097,28.009433333333334,26.8497
78,15517,27.9816,3.0124,13.3025,40.4103,27.8751,26.0773,29.8756,19:30,3.7982999999999976,-0.031099999999998573,0.031099999999998573,27.989900000000002,27.107799999999997
79,15585,27.9754,3.0023,12.6948,40.3776,27.8641,26.0791,29.8729,19:45,3.793800000000001,-0.006199999999999761,0.006199999999999761,27.9719,27.6828
80,15537,27.9587,2.9709,10.3873,40.254,27.8459,26.067,29.8169,20:00,3.7499000000000002,-0.01670000000000016,0.01670000000000016,27.96853333333333,29.866699999999998
81,15525,27.9715,2.9277,11.364,40.23,27.8757,26.0633,29.8199,20:15,3.756599999999999,0.01279999999999859,0.01279999999999859,27.97096666666667,28.865999999999996
82,15555,27.9827,2.8905,13.3338,40.0612,27.8931,26.092,29.8158,20:30,3.7238000000000007,0.01120000000000232,0.01120000000000232,27.986166666666666,26.7274
83,15545,28.0043,2.8543,11.5982,39.9298,27.9123,26.1236,29.8432,20:45,3.7196,0.021599999999999397,0.021599999999999397,28.021600000000003,28.3316
84,15571,28.0778,2.8086,11.3551,39.8521,28.0508,26.2423,29.9036,21:00,3.6613000000000007,0.07349999999999923,0.07349999999999923,28.062033333333332,28.497
85,15576,28.104,2.7985,11.5456,39.7882,28.133,26.258,29.913,21:15,3.655000000000001,0.026199999999999335,0.026199999999999335,28.0943,28.242600000000003
86,15606,28.1011,2.7825,11.8168,39.9123,28.0929,26.3091,29.8998,21:30,3.5906999999999982,-0.0029000000000003467,0.0029000000000003467,28.105266666666665,28.0955
87,15586,28.1107,2.7599,11.9258,39.4864,28.06,26.3331,29.9152,21:45,3.582099999999997,0.009600000000002495,0.009600000000002495,28.103266666666666,27.5606
88,15580,28.098,2.7437,11.9726,39.6896,28.0248,26.329,29.9282,22:00,3.5991999999999997,-0.012700000000002376,0.012700000000002376,28.10076666666667,27.717
89,15581,28.0936,2.7497,11.3421,39.4701,28.027,26.3259,29.95,22:15,3.6240999999999985,-0.004400000000000404,0.004400000000000404,28.0904,28.128
90,15576,28.0796,2.7466,12.5767,39.2273,28.0178,26.3622,29.9338,22:30,3.5716,-0.013999999999999346,0.013999999999999346,28.083066666666667,26.650599999999997
91,15598,28.076,2.7337,11.9326,39.2635,28.0159,26.3714,29.9627,22:45,3.5913000000000004,-0.0035999999999987153,0.0035999999999987153,28.089100000000002,27.3309
92,15563,28.1117,2.6991,12.7396,39.1741,28.078,26.5306,29.9398,23:00,3.409200000000002,0.03569999999999851,0.03569999999999851,28.123033333333336,26.434500000000003
93,15588,28.1814,2.6829,13.6748,39.0602,28.259,26.6481,29.9415,23:15,3.293400000000002,0.06970000000000098,0.06970000000000098,28.154633333333333,25.385400000000004
94,15610,28.1708,2.6734,13.8736,38.9608,28.3325,26.6542,29.9325,23:30,3.2783000000000015,-0.010600000000000165,0.010600000000000165,28.174966666666666,25.0872
95,15577,28.1727,2.6804,12.2948,39.0109,28.3341,26.6033,29.9498,23:45,3.346499999999999,0.0018999999999991246,0.0018999999999991246,,26.716099999999997
